Order ID,Order Date,Customer Name,Product,Category,Quantity,Unit Price,Total,Country
1000,2023-09-19 00:00:00.000000,Nina,Laptop,Electornics,2,601.0,1202.0,Usa
1001,2025-08-04 21:27:47.373105,Bob,Laptop ,Electron Ics,5,1467.0,7335.0,Canada
1002,2023-08-10 00:00:00.000000,Mona,Phone,Electronics,5,492.0,2460.0,Canada
1003,2025-08-04 21:27:47.373105,Rachel, Monitor ,Electronics,2,705.0,1410.0,Usa
1004,2025-08-04 21:27:47.373105, Grace,Tablet,Electronic S,3,1223.0,3669.0,Usa
1005,2025-08-04 21:27:47.373105,Eve,Printer,Electronics,5,1221.0,6105.0,Usa
1006,2025-08-04 21:27:47.373105,Charlie,Laptop,Electronic S,3,1240.0,3720.0,Canada
1007,2025-08-04 21:27:47.373105,Sam,Laptop,Electronic S,1,769.0,769.0,Canada
1008,2025-08-04 21:27:47.373105, David,Keyboard,Electornics,0,715.0,0.0,Canada
1009,2023-04-12 00:00:00.000000,Oscar,Phone,Electron Ics,4,1197.0,4788.0,Usa
1010,2025-08-04 21:27:47.373105,Leo,Printer,Electronic S,3,518.0,1554.0,Canada
1011,2025-08-04 21:27:47.373105,Hannah,Laptop,Electronics,5,1404.0,7020.0,Canada
1012,2023-12-20 00:00:00.000000,David,Tablet,Electronic S,4,706.0,2824.0,Canada
1013,2025-08-04 21:27:47.373105,Grace,Monitor,Electornics,2,897.0,1794.0,Usa
1014,2023-12-12 00:00:00.000000,Karen,Tablet,Electronic S,5,1017.0,5085.0,Usa
1015,2023-03-13 00:00:00.000000,Karen,Keyboard,Electronic S,3,1045.0,3135.0,Usa
1016,2023-02-13 00:00:00.000000,Sam,Tablet,Electronic S,1,973.0,973.0,Canada
1017,2025-08-04 21:27:47.373105,Charlie,Tablet,Electronics,3,660.0,1980.0,Usa
1018,2023-05-16 00:00:00.000000,Nina,Laptop,Electronic S,4,1368.0,5472.0,Usa
1019,2025-08-04 21:27:47.373105,Eve,Tablet,Electronic S,4,1084.0,4336.0,Canada
1020,2025-08-04 21:27:47.373105, Leo,Phone,Electronic S,2,1174.0,2348.0,Canada
1021,2023-12-19 00:00:00.000000,Frank,Laptop,Electronic S,2,349.0,698.0,Canada
1022,2025-08-04 21:27:47.373105,Mona,Monitor,Electronic S,0,715.0,0.0,Usa
1023,2023-09-12 00:00:00.000000,Grace,Phone,Electronic S,2,1086.0,2172.0,Canada
1024,2025-08-04 21:27:47.373105,Karen,Keyboard,Electronic S,2,506.0,1012.0,Usa
1025,2023-07-28 00:00:00.000000,Hannah,Laptop,Electronic S,1,1391.0,1391.0,Usa
1026,2025-08-04 21:27:47.373105,Paul,Printer,Electronic S,1,648.0,648.0,Canada
1027,2023-09-15 00:00:00.000000,Nina,Keyboard,Electronics,1,1114.0,1114.0,Canada
1028,2023-07-30 00:00:00.000000,Karen,Tablet,Electronics,3,938.0,2814.0,Canada
1029,2023-06-08 00:00:00.000000,Karen,Laptop,Electronics,4,1051.0,4204.0,Usa
1030,2023-01-17 00:00:00.000000,Bob,Tablet,Electronic S,4,1257.0,5028.0,Usa
1031,2025-08-04 21:27:47.373105,Nina,Laptop,Electronic S,1,943.0,943.0,Canada
1032,2025-08-04 21:27:47.373105,Karen,Monitor,Electronic S,2,615.0,1230.0,Canada
1033,2025-08-04 21:27:47.373105,Hannah,Laptop,Electronic S,1,512.0,512.0,Usa
1034,2025-08-04 21:27:47.373105,Frank,Phone,Electronic S,4,1419.0,5676.0,Usa
1035,2025-08-04 21:27:47.373105,Grace,Monitor,Electronics,2,480.0,960.0,Usa
1036,2023-04-20 00:00:00.000000,Paul,Phone,Electronics,1,1325.0,1325.0,Canada
1037,2025-08-04 21:27:47.373105,Mona,Printer,Electronics,2,912.0,1824.0,Usa
1038,2025-08-04 21:27:47.373105,Frank,Keyboard,Electronics,2,1052.0,2104.0,Usa
1039,2025-08-04 21:27:47.373105,Nina,Phone,Electronics,4,837.0,3348.0,Canada
1040,2023-06-10 00:00:00.000000,Eve,Tablet,Electronics,1,1350.0,1350.0,Canada
1041,2025-08-04 21:27:47.373105,Charlie,Laptop,Electronic S,0,1290.0,0.0,Usa
1042,2025-08-04 21:27:47.373105,Karen,Laptop,Electornics,3,1202.0,3606.0,Usa
1043,2025-08-04 21:27:47.373105,Paul,Tablet,Electronic S,3,1021.0,3063.0,Canada
1044,2025-08-04 21:27:47.373105,Rachel,Monitor,Electronics,5,782.0,3910.0,Usa
1045,2025-08-04 21:27:47.373105,Frank,Laptop,Electronic S,4,870.0,3480.0,Canada
1046,2023-10-17 00:00:00.000000,Karen,Laptop,Electronics,5,915.0,4575.0,Canada
1047,2025-08-04 21:27:47.373105,David,Monitor,Electronic S,1,937.0,937.0,Usa
1048,2023-01-09 00:00:00.000000,Leo,Tablet,Electronic S,4,813.0,3252.0,Usa
